"TableName","IndexName","Seeks","Scans","Lookups","Updates"
"dbo.currency","","0","15967","0","0"
"dbo.SerialTableMapping","PK__SerialTa__8B5781BD0289B981","0","3086","0","0"
"dbo.Transactions","PK_Transactions","3223","334","1627","1349"
"dbo.Transaction_Details","IX_Transaction_Details","22","130","1635","690"
"dbo.TblBoxesData","PK_TblBoxesData","1772","1553","0","0"
"dbo.SerialCounters_V2","PK__SerialCo__F12879E41225F20D","0","1","1483","1603"
"dbo.TblItems","PK_TblItems","2413","1224","0","1"
"dbo.TblOptions","","0","1194","0","0"
"dbo.branches","","0","1062","0","0"
"dbo.TblUnites","","0","994","0","0"
"dbo.TblItemsUnits","","0","968","0","0"
"dbo.TblBranchesData","PK__TblBranchesData__7267B045","1057","964","0","0"
"dbo.DOUBLE_ENTREY_VOUCHERS","PK_DOUBLE_ENTREY_VOUCHERS","324","41","695","395"
"dbo.tblOptionsCash","PK__tblOptio__3214EC27BAD1F009","0","597","0","0"
"dbo.ACCOUNTS","PK_ACCOUNTS","0","54","525","25"
"dbo.tblItemsCash","PK__tblItems__3214EC275F773895","0","409","0","0"
"dbo.TblSpecification","PK__TblSpecification__3BC31D7F","0","374","0","0"
"dbo.TblSettsReqLimK","PK__TblSetts__3214EC27E0CBFF68","0","360","0","0"
"dbo.TblBranchesData","IDX_TblBranchesData_Branch_ID_Code","0","299","0","0"
"dbo.TblStore","PK_TblStore","939","294","0","0"
"dbo.TblPaymentType","PK__TblPaymentType__14BCC849","146","282","0","0"
"dbo.TblPaymentUser","PK__TblPayme__3214EC27C8EF352E","0","280","0","0"
"dbo.TblUsers","PK_TblUsers","2680","102","155","2"
"dbo.BanksData","PK_BanksData","1390","186","0","0"
"dbo.ScreenJuncUser","CIX_ScreenJuncUser","0","0","159","0"
"dbo.TblCusCsh","<cardIndex, sysname,>","4","148","0","15"
"dbo.TblUsersBoxes","PK__TblUsers__3213E83F9FDE57BE","0","114","4","0"
"dbo.Notes","PK_Notes","1064","51","65","698"
"dbo.TblEmployee","PK_TblEmployee","604","97","12","0"
"dbo.TblyearsData","PK__TblyearsData__571F8883","0","70","0","0"
