"DatabaseName","ObjectName","ExecutionCount","TotalElapsedMs","AvgElapsedMs","MaxElapsedMs","SqlText"
"","","1","7632.24","7632.24","7632.24","SELECT TOP (45)     CONVERT(date, Transaction_Date) AS TranDate,     COUNT(*) AS TransactionsCount,     COUNT(DISTINCT UserID) AS ActiveUsers,     COUNT(DISTINCT BranchId) AS ActiveBranches,     SUM(ISNULL(Transaction_NetValue, ISNULL(PayedValue,0))) AS NetValue,     SUM(ISNULL(NetValue,0)) AS Fees,     SUM(ISNULL(Vat,0)) AS Vat FROM dbo.Transactions WITH (NOLOCK) WHERE Transaction_Type = 21 GROUP BY CONVERT(date, Transaction_Date) ORDER BY TranDate DESC"
"","","1","601.35","601.35","601.35","SELECT     (SELECT COUNT(*) FROM dbo.Transactions WITH (NOLOCK) WHERE Transaction_Type=21) AS PosTransactions,     (SELECT COUNT(*) FROM dbo.Transaction_Details d WITH (NOLOCK) INNER JOIN dbo.Transactions t WITH (NOLOCK) ON t.Transaction_ID=d.Transaction_ID WHERE t.Transaction_Type=21) AS PosDetails,     (SELECT COUNT(*) FROM dbo.Notes WITH (NOLOCK)) AS NotesCount,     (SELECT COUNT(*) FROM dbo.DOUBLE_ENTREY_VOUCHERS WITH (NOLOCK)) AS JournalLines"
"","","1","260.12","260.12","260.12","SELECT TOP (20)     s.name + '.' + t.name AS TableName,     SUM(p.rows) AS RowsCount,     CAST(SUM(a.total_pages)*8.0/1024 AS DECIMAL(18,2)) AS TotalMB,     CAST(SUM(a.used_pages)*8.0/1024 AS DECIMAL(18,2)) AS UsedMB FROM sys.tables t JOIN sys.schemas s ON s.schema_id=t.schema_id JOIN sys.indexes i ON i.object_id=t.object_id JOIN sys.partitions p ON p.object_id=i.object_id AND p.index_id=i.index_id JOIN sys.allocation_units a ON a.container_id=p.partition_id WHERE i.index_id IN (0,1) GROUP BY s."
"","","2","238.22","119.11","204.41","SELECT TOP (200)     b.BranchId,     br.branch_Code AS BranchCode,     COALESCE(NULLIF(br.branch_name, N''), NULLIF(br.branch_namee, N''), N'فرع ' + CONVERT(NVARCHAR(20), b.BranchId)) AS BranchName,     br.branch_namee AS BranchNameEnglish FROM (     SELECT branch_id AS BranchId FROM dbo.TblBranchesData WHERE branch_id IS NOT NULL      UNION      SELECT DISTINCT BranchId FROM dbo.Transactions WHERE Transaction_Type = 21 AND BranchId IS NOT NULL  ) b  LEFT JOIN dbo.TblBranchesData br ON br.branch"
"","","1","207.64","207.64","207.64","SELECT TOP (200)     b.BranchId,     br.branch_Code AS BranchCode,     COALESCE(NULLIF(br.branch_name, N''), NULLIF(br.branch_namee, N''), N'فرع ' + CONVERT(NVARCHAR(20), b.BranchId)) AS BranchName,     br.branch_namee AS BranchNameEnglish FROM (     SELECT branch_id AS BranchId FROM dbo.TblBranchesData WHERE branch_id IS NOT NULL      UNION      SELECT DISTINCT BranchId FROM dbo.Transactions WHERE Transaction_Type = 21 AND BranchId IS NOT NULL  ) b  LEFT JOIN dbo.TblBranchesData br ON br.branch"
"","","1","105.52","105.52","105.52","SELECT TOP (30)     session_id, blocking_session_id, wait_type, wait_time, total_elapsed_time, command, status FROM sys.dm_exec_requests WHERE session_id <> @@SPID ORDER BY total_elapsed_time DESC"
"","","1","95.89","95.89","95.89","SELECT TOP (30)     OBJECT_SCHEMA_NAME(i.object_id)+'.'+OBJECT_NAME(i.object_id) AS TableName,     i.name AS IndexName,     ISNULL(us.user_seeks,0) AS Seeks,     ISNULL(us.user_scans,0) AS Scans,     ISNULL(us.user_lookups,0) AS Lookups,     ISNULL(us.user_updates,0) AS Updates FROM sys.indexes i LEFT JOIN sys.dm_db_index_usage_stats us ON us.object_id=i.object_id AND us.index_id=i.index_id AND us.database_id=DB_ID() WHERE OBJECTPROPERTY(i.object_id,'IsUserTable')=1 ORDER BY (ISNULL(us.user_scan"
"","","1","65.30","65.30","65.30","SELECT target_data  									FROM sys.dm_xe_session_targets xet WITH(nolock)  									JOIN sys.dm_xe_sessions xes WITH(nolock)  									ON xes.address = xet.event_session_address  									WHERE xes.name = 'telemetry_xevents'  									AND xet.target_name = 'ring_buffer'"
"","","25","16.91","0.68","12.67","INSERT INTO [dbo].[POS_SqlUpdateHistory]([RunId],[ScriptOrder],[ScriptName],[ScriptPath],[ScriptHash],[AppliedBy],[MachineName],[DatabaseName],[DurationMs],[Success],[ReleaseNo]) values(@1,@2,@3,@4,@5,suser_sname(),host_name(),db_name(),@6,@7,@8)"
"","","1","11.29","11.29","11.29","SELECT 'OBJECT_COUNT', type_desc, COUNT(*) FROM sys.objects GROUP BY type_desc ORDER BY type_desc"
