"id","ContNo","InstallNo","Installdate","InstalldateH","installValue","Status","NoteSerial","NoteSerial1","NoteID","RentValue","Commissions","Insurance","Water","Electric","TelandNet","payed","Remains","RentValuePayed","CommissionsPayed","InsurancePayed","WaterPayed","ElectricPayed","TelandNetPayed","lastPayedDate","lastPayedDateH","allocations","Countsofall","Doneofall","VATPayed","VATValue","CommissionsArbon","NetCommissions","Insurance1","NetInsurance","Water1","WaterArbon","NetWater","Electric1","ElectricArbon","NetElectric","InsuranceArbon"
"1","1","1","10/8/2018 12:00:00 AM","","8900","False","","","","7500","0","1000","100","200","100","0","8900","0","0","0","0","0","0","","","","","","0","0","0","0","1000","1000","100","0","100","200","0","200","0"
"2","1","2","4/3/2019 12:00:00 AM","","7500","False","","","","7500","0","0","0","0","0","0","7500","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","6","1","6/18/2019 12:00:00 AM","","7500.006","True","","","","7142.86","0","0","0","0","0","0","7500.006","0","0","0","0","0","0","","","","","","0","357.146","0","0","0","0","0","0","0","0","0","0","0"
"123","6","2","12/18/2019 12:00:00 AM","","7500.006","False","","","","7142.86","0","0","0","0","0","0","7500.006","0","0","0","0","0","0","","","","","","0","357.146","0","0","0","0","0","0","0","0","0","0","0"
"142","10","1","4/6/2019 12:00:00 AM","","7150","False","","","","7150","0","0","0","0","0","0","7150","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","10","2","10/6/2019 12:00:00 AM","","7150","False","","","","7150","0","0","0","0","0","0","7150","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"154","17","1","6/12/2019 12:00:00 AM","","7150","True","","","","7150","0","0","0","0","0","0","7150","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"155","17","2","12/12/2019 12:00:00 AM","","7150","False","","","","7150","0","0","0","0","0","0","7150","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"167","24","1","6/22/2019 12:00:00 AM","","8150","True","","","","8150","0","0","0","0","0","0","8150","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"168","24","2","12/22/2019 12:00:00 AM","","8150","False","","","","8150","0","0","0","0","0","0","8150","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0"
