"RevenuesID","RevenuesName","Remarks","Account_Code","parent_account","RevenuesNamee","ManualEntrty"
"1","ايرادات الايجارات","","a4a1a1a1a1","ايرادات النشاط","",""
"2","ايرادات عمائر الشارقه","","a4a1a1a1a2","ايرادات النشاط","","0"
"3","ايرادات السعى","","a4a1a1a1a3","ايرادات النشاط","",""
"4","ايرادات الغاز","","a4a1a1a1a4","ايرادات النشاط","",""
"5","ايراد عمولات على تحصيلات املاك للغير","","a4a1a3a1a2","a4a1a3a1","","1"
"6","ايرادات الاستثمار في مشروع رقم 1 مع شركة ريش للطاق","","a4a1a3a1a5","a4a1a3a1","","0"
"7","ايراد شغل اليد","","a4a1a3a1a6","a4a1a3a1","ايراد شغل اليد","0"
"8","ارباح من الودائع","","a4a1a3a1a7","a4a1a3a1","","0"
"9","ايرادات الاستثمار في مشروع رقم 2 مع شركة ريش للطاق","","a4a1a3a1a8","a4a1a3a1","","0"
