"Account_ID","Account_Code","Account_Name","Parent_Account_Code","last_account","cannot_del","Account_Serial","BasicAccount","DateCreated","Account_NameEng","zmam","mowazna","currenct_code","rate","cost_center","Sum_account","opening_balance","opening_balance_type","cost_center_id","cost_center_type","ShowInBlanceSheet","ActivityTypeId","AccountTypes","AccountTab","DepitOrCredit","Differenttype","Authority","Block","UserGroupId","UserId","Branch","Balance","DepitBalance","CreditBalance","interval1","interval2","interval3","interval4","interval5","interval6","interval7","interval8","interval9","interval10","interval11","interval12","ProfitBalance","Level","BranchID","account_serial1","account_name1","Account_NameEng1","account_serial2","account_name2","Account_NameEng2","account_serial3","account_name3","Account_NameEng3","TblLCID"
"1","a1","الأصول","r","False","True","1","True","10/26/2007 3:18:00 AM","Assests","","","","","","","637454.2500","0","","","","","1","0","0","1","0","","","","","-192.0000","4124407559.1295","-4252066560.794","","","","","","","","","","","","","0","1","","","","","","","","","","",""
"2","a2","الخصوم والملكية","r","False","True","2","True","10/26/2007 3:18:00 AM","Liabilities & Owners Equity","","","","","","","-11100148573.6282","1","","","","","1","1","1","1","0","","","","","","1897221230.369","-1570225246.3425","","","","","","","","","","","","","0","1","","","","","","","","","","",""
"3","a4","الايرادات","r","False","True","3","True","10/26/2007 3:18:00 AM","Revenue","","False","1","","False","False","-6032809.4800","1","","","","","2","2","1","1","0","","","","","","30992999.452","-546600403.44","-2123761.85","-2250292.79","-1992833.14","-2219528.71","-2103687.24","-2122240.92","-45000","-231896","-3478571.42","","","","0","1","","","","","","","","","","",""
"4","a3","المصروفات","r","False","True","4","True","10/26/2007 3:18:00 AM","Expenses","","False","1","","False","False","6119757.2200","1","","","","","2","3","0","1","0","","","","","192.0000","916007648.28","-610543559.69","945909.57","1150279.44","1797204.38","1149813.34","1043718.09","3996127.83","502457.58","681965.09","5799266.55","561598.26","","","0","1","","","","","","","","","","",""
"5","a1a1","الاصول الثابتة","a1","False","False","12","False","2/7/2012 12:00:00 AM","Fixed Assets","","False","1","","False","False","1702290.9100","0","","0","","0","1","0","0","1","0","False","0","0","0","","1289947670.42","-1459490878.77","","","","","","","","","","","","","0","2","","","","","","","","","","",""
"6","a1a2","الاصول المتداولة","a1","False","False","11","False","2/7/2012 12:00:00 AM","Current Assets","","False","1","","False","False","-1064836.6600","1","","0","","0","1","0","0","1","0","False","0","0","0","-192.0000","2834459888.7095","-2792575682.024","","","","","","","","","","","","","0","2","","","","","","","","","","",""
"7","a2a1","حقوق الملكية","a2","False","False","21","False","2/8/2012 12:00:00 AM","Owners Equity","","False","1","","False","False","-11102492585.6582","1","","0","","0","1","1","1","1","0","False","0","0","0","","96434693.99","-39948332.49","","","","","","","","","","","","","0","2","","","","","","","","","","",""
"8","a2a2","الخصوم المتداولة","a2","False","False","22","False","2/8/2012 12:00:00 AM","Current Liabilities","","False","1","","False","False","2344012.0300","1","","0","","0","1","1","1","1","0","False","0","0","0","","192069334.334","-141857628.2639","","","","","","","","","","","","","0","2","","","","","","","","","","",""
"9","a5","الحسابات النظامية","r","False","True","5","True","10/26/2007 3:18:00 AM","Legal Accounts","","False","1","","False","True","0.0000","1","","","","","0","4","","","0","","","","","","10806333","-0.03","","","","","","","","","","","","","0","1","","","","","","","","","","",""
"10","a5a2","وسيط افتاحي","a5","False","False","52","False","4/30/2012 12:00:00 AM","Legal Account","","False","1","","False","True","0.0000","","","0","","0","0","4","0","1","0","False","0","0","0","","10806333","-0.03","","","","","","","","","","","","","0","2","","","","","","","","","","",""
