"Aqarid","aqarNo","aqartypeid","CountryID","cityid","heyid","floorcount","schemeid","interfaceid","StatusId","EntryCount","noofapartement","noofoffices","noofparking","maintenancetypeid","ownerid","aqarname","streetname","Location","aqarage","currentPrice","lastrentvalue","northlength","Southlength","eastlength","Westlength","totallength","meterRentvalue","metersalevalue","GoogleMap","statusdate","suckdate","suckdateH","suckno","authorizationname","Rate","UnitNo","Block","Part","StreetNo","PriceSomW","PriceHadW","Price","PriceSom","PriceHad","eastWriiten","westWriiten","BranchId","AgemcyNo","Telephone","Mobile","Email","Fax","AccountBank","ContValue","PaymentNo","Priod","PriodDMY","PriodAlow","PriodAlowDMY","DateHCont","DateCont","FromCotDateH","FromCotDate","ToCotDateH","ToCotDate","FirstInstallDateH","FristPaymentDate","SalesEmp","BanckName","Provide","Remarks","ValYearIncrease","FromNo","ToNo","ChkOrder","TypAmola","AmolaValus","FixedID","AccounCode","FromPlanneddate","FromPlanneddateH","ToPlanneddate","ToPlanneddateH","PlotNo","Planned","DisountAmount","NOOFYears","TypeDate","NoteID","NoteSerial","NoteSerial1","TxtContValueWithout","TxtFATValue","TxtFATYou","ComResid"
"1","","","1","2","","5","","0","1","0","8","13","0","0","4","مبني التحلية","الشارع التحلية","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","1/14/2017 12:00:00 AM","1438/04/16","","","","","","","","","","","","","","","1","","","","","","","651200","2","6","1","1","1","1438/04/16","1/14/2017 12:00:00 AM","1438/04/16","1/14/2017 12:00:00 AM","1438/04/16","1/14/2017 12:00:00 AM","1438/04/16","1/14/2017 12:00:00 AM","0","","","","","","","","0","0","","","3/28/2022 12:00:00 AM","1443/08/25","3/28/2022 12:00:00 AM","1443/08/25","","","","0","0","","","","0","0","0","0"
"2","","2","1","2","1","0","","0","1","0","87","0","0","0","4","مبنى التخصصي","روضة","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","1/14/2017 12:00:00 AM","1438/04/16","","","","","","","","","","","","","","","1","","4602545","","","","","0","2","6","1","1","1","1438/04/16","1/14/2017 12:00:00 AM","1438/04/16","1/14/2017 12:00:00 AM","1438/04/16","1/14/2017 12:00:00 AM","1438/04/16","1/14/2017 12:00:00 AM","0","","","","","","","","0","0","","","","","","","","","","","","","","","","","",""
"3","","2","1","2","","0","","0","","0","17","0","0","0","5","عمارة الخزامي","","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","1/14/2017 12:00:00 AM","1438/04/16","","","","","","","","","","","","","","","1","","","","","","","0","2","6","1","1","1","1438/04/16","1/14/2017 12:00:00 AM","1438/04/16","1/14/2017 12:00:00 AM","1438/04/16","1/14/2017 12:00:00 AM","1438/04/16","1/14/2017 12:00:00 AM","0","","","","","","","","0","0","","","","","","","","","","","","","","","","","",""
"5","","1","1","8","10","1","","0","1","0","82","0","0","0","4","مجمع طيبة الصناعي","المدينة","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","3/21/2017 12:00:00 AM","1438/06/23","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1438/04/16","3/21/2017 12:00:00 AM","1438/04/16","3/21/2017 12:00:00 AM","1438/04/16","3/21/2017 12:00:00 AM","1438/04/16","3/21/2017 12:00:00 AM","0","","","","","","","","0","0","","","","","","","","","","","","","","","","","",""
"6","","2","1","2","2","0","","0","","0","0","0","0","0","4","مجمع الروضه السكني","","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","3/21/2017 12:00:00 AM","1438/06/23","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1438/04/16","3/21/2017 12:00:00 AM","1438/04/16","3/21/2017 12:00:00 AM","1438/04/16","3/21/2017 12:00:00 AM","1438/04/16","3/21/2017 12:00:00 AM","0","","","","","","","","0","0","","","3/8/2022 12:00:00 AM","1443/08/05","3/8/2022 12:00:00 AM","1443/08/05","","","","0","0","","","","0","0","0","0"
"7","","","1","","","0","","0","","0","0","0","0","0","4","مبنى حي الصحافة","","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","3/21/2017 12:00:00 AM","1438/06/23","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1438/04/16","3/21/2017 12:00:00 AM","1438/04/16","3/21/2017 12:00:00 AM","1438/04/16","3/21/2017 12:00:00 AM","1438/04/16","3/21/2017 12:00:00 AM","0","","","","","","","","0","0","","","","","","","","","","","","","","","","","",""
"8","","1","1","3","","","","0","","","","","","0","4","منتجع سهوب السياحي","","","","","","","","","","","","","","3/27/2017 12:00:00 AM","3/27/2017 12:00:00 AM","1438/06/29","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1438/04/16","3/27/2017 12:00:00 AM","1438/04/16","3/27/2017 12:00:00 AM","1438/04/16","3/27/2017 12:00:00 AM","1438/04/16","3/27/2017 12:00:00 AM","0","","","","","","","","0","0","","","","","","","","","","","","","","","","","",""
"9","","3","1","2","6","6","","0","0","0","83","8","0","0","4","مبنى الضباب","شارع الضباب","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","4/4/2017 12:00:00 AM","1438/07/08","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1438/04/16","4/4/2017 12:00:00 AM","1438/04/16","4/4/2017 12:00:00 AM","1438/04/16","4/4/2017 12:00:00 AM","1438/04/16","4/4/2017 12:00:00 AM","1","","","","","","","","0","0","","","1/30/2022 12:00:00 AM","1443/06/27","1/30/2022 12:00:00 AM","1443/06/27","","","","0","0","","","","0","0","0","0"
"10","","1","1","9","","","","0","","","","","","0","4","فندق مكه","","","","","","","","","","","","","","4/5/2017 12:00:00 AM","4/5/2017 12:00:00 AM","1438/07/09","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1438/04/16","4/5/2017 12:00:00 AM","1438/04/16","4/5/2017 12:00:00 AM","1438/04/16","4/5/2017 12:00:00 AM","1438/04/16","4/5/2017 12:00:00 AM","0","","","","","","","","0","0","","","","","","","","","","","","","","","","","",""
"11","","","1","8","","0","","0","","0","0","0","0","0","161","مجمع مستودعات الخليل","","","0","0","0","0","0","0","0","0","0","0","","9/6/2001 12:00:00 AM","1/1/2017 12:00:00 AM","1438/04/03","","","","","","","","","","","","","","","1","","","","","","","0","0","0","","0","","1438/04/03","1/1/2017 12:00:00 AM","1438/04/03","1/1/2017 12:00:00 AM","1439/04/13","12/31/2017 12:00:00 AM","1438/04/16","8/20/2017 12:00:00 AM","1","","","","","","","","0","0","","","","","","","","","","","","","","","","","",""
