"Id","Aqarid","length","unitdesc","unitno","unittype","rentType","meterPrice","roomscount","WCcount","kithchencount","RentValue","customerid","haveFurniture","namerentType","Floor","LoungeCount","ACCount","Status","Services","Water","electric","ACCountspleat","UnitElectric","MiniRentValue","Comm","InsuranceValue","CommValue","FilterDateH","FilterDate","ContID","Typed","isTax","readyDAte","ready","Mremarks"
"3","3","0","","1","5","0","0","0","0","0","60000","0","False","القيمة الايجارية","","0","0","0","0","0","0","0","","55000","0","5000","","25-06-1446","12/26/2024 12:00:00 AM","2651","1","False","","",""
"4","3","0","","2","5","0","0","0","0","0","40000","","False","  بالقيمة الايجارية      ","","0","0","0","0","0","0","0","","55000","0","2000","","1442/05/18","1/1/2021 12:00:00 AM","0","1","False","","",""
"6","1","272.5","","SG02","6","0","0","0","0","0","125000","","False","بالمتر","1","0","0","0","0","0","0","1","","0","0","5000","","1446/11/30","5/27/2025 12:00:00 AM","0","2","True","","",""
"7","1","272.5","","SG03","6","0","0","0","0","0","360822","","False","بالمتر","1","0","0","0","0","0","0","1","","0","0","0","","1446/11/29","5/26/2025 12:00:00 AM","0","2","True","","",""
"8","1","271","","OG02","2","0","440.03","0","0","0","0","0","False","بالمتر","1","0","0","0","","","","0","","0","","","","1442/02/10","9/27/2020 12:00:00 AM","0","1","False","","",""
"9","1","401","","OSF03","3","0","660","0","0","0","114000","","False","بالمتر","2","0","0","0","0","0","0","1","","0","0","0","","1445/07/21","1/31/2024 12:00:00 AM","0","2","True","","",""
"10","1","143","","A1","5","0","0","4","2","1","35000","","False","بالمتر","1","1","0","0","0","0","0","6","","0","0","2000","","1446/11/03","4/30/2025 12:00:00 AM","0","1","False","","",""
"11","1","110","","D1","5","0","0","4","2","1","35000","","False","القيمة الايجارية","1","1","0","0","0","0","0","6","","30000","0","0","","1446/12/04","5/31/2025 12:00:00 AM","0","1","False","","",""
"12","1","150","","D2","5","0","0","4","2","1","25000","","False","القيمة الايجارية","1","1","0","0","0","0","0","5","","25000","0","0","","1446/09/20","3/19/2025 12:00:00 AM","0","1","False","","",""
"13","1","153","","B2","5","0","0","4","2","1","35000","","False","القيمة الايجارية","1","1","0","0","0","0","0","6","","30000","0","2000","","1446/11/03","4/30/2025 12:00:00 AM","0","1","False","","",""
