"ID","ProfExpID","TypeExpens","name","Account_Code","ExpAccount_Code","Valuee","EmpID","IDD","BranchID","FromDate","ToDate"
"1","1","1","مؤسسة خالد عبد الله السنيدي","a1a2a5a10","a3a1a3a3a5","12500","0","1","1","",""
"2","1","1","مؤسسة خالد السنيدي","a1a2a5a10","a3a1a3a3a5","10000","0","2","1","",""
"3","2","1","مؤسسة وائل حسن فارسي للسلامة","a1a2a5a10","a3a1a3a3a5","14000","0","3","1","",""
"4","3","1","مؤسسة خالد عبد الله السنيدي","a1a2a5a10","a3a1a3a3a5","12500","0","7","1","",""
"5","3","1","مؤسسة خالد السنيدي","a1a2a5a10","a3a1a3a3a5","10000","0","8","1","",""
"6","3","1","مؤسسة خالد عبد الله السنيدي","a1a2a5a10","a3a1a3a3a5","12500","0","9","1","",""
"10","4","1","مؤسسة خالد عبد الله السنيدي","a1a2a5a10","a3a1a3a3a5","10000","0","11","1","",""
"11","4","1","مؤسسة خالد عبد الله السنيدي","a1a2a5a10","a3a1a3a3a5","13125","0","13","1","",""
"12","4","1","مؤسسة خالد عبد الله السنيدي","a1a2a5a10","a3a1a3a3a5","13125","0","14","1","",""
"16","5","1","مؤسسة خالد عبد الله السنيدي","a1a2a5a10","a3a1a3a3a5","13125","0","15","1","",""
