"ContNo","NoteSerial1","ContDate","StrDate","EndDate","Iqar","UnitNo","CusID","MissingProperty","MissingUnit","MissingRenter"
"331","219030003","","","","","","","1","1","1"
"689","120030012","","","","","","","1","1","1"
"690","120030012","","","","","","","1","1","1"
"721","219050021","","","","","","","1","1","1"
"805","121080003","","","","","","","1","1","1"
"945","119020012","","","","","","","1","1","1"
"946","121070003","","","","","","","1","1","1"
"947","121070003","","","","","","","1","1","1"
"1626","119060033","","","","","","","1","1","1"
"1716","119080012","","","","","","","1","1","1"
